ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP
Dr.O Hair Tretment100ml,1,2,,1,2,,,72,,15,Exclusive,120,0,5060176674707,0,,,0,
Dr.O Pure Oil 50ml,1,2,,1,2,,,40.20000076,,15,Exclusive,67,0,5060176674585,0,,,0,
Dr.O Treatment Condi200ml,1,2,,1,2,,,36.59999847,,15,Exclusive,61,0,5060176674769,0,,,0,
Dr.O Shampoo265ml,1,2,,1,2,,,27.60000038,,15,Exclusive,46,0,5060176674844,0,,,0,
Dr.O Skin Lotion 200ml,1,2,,1,2,,,34.79999924,,15,Exclusive,58,0,5060176674783,0,,,0,
Dr.O Eye Serum 30ml,1,2,,1,2,,,51,,15,Exclusive,85,0,5060176674868,0,,,0,
Dr.O Dead Sea Mud100 ml,1,2,,1,2,,,43.79999924,,15,Exclusive,73,0,5060176674882,0,,,0,
Dr.O Dead Sea Souffle 200 ml,1,2,,1,2,,,39.59999847,,15,Exclusive,66,0,5060176674721,0,,,0,
Dr.O Dead Sea Day Cream 200 ml,1,2,,1,2,,,43.79999924,,15,Exclusive,73,0,5060176675186,0,,,0,
Dr.O Dead Sea Bath 1 KG,1,2,,1,2,,,23.39999962,,15,Exclusive,39,0,5060176675469,0,,,0,
Dr.O Dead Sea Night Cream 50ml,1,2,,1,2,,,43.79999924,,15,Exclusive,73,0,5060176675285,0,,,0,
Dr.O Dead Sea Shamp&Condi 250ml,1,2,,1,2,,,30.60000038,,15,Exclusive,51,0,5060176675407,0,,,0,
Dr.O Dead Sea Lotion 200ml,1,2,,1,2,,,34.79999924,,15,Exclusive,58,0,5060176675360,0,,,0,
Dr.O Lavender Shamp265ml,1,2,,1,2,,,27.60000038,,15,Exclusive,46,0,5060176675421,0,,,0,
Dr.O Lavender Lotion 200ml,1,2,,1,2,,,34.79999924,,15,Exclusive,58,0,5060176675445,0,,,0,
Dr.O Manuka Butter 200ml,1,2,,1,2,,,43.20000076,,15,Exclusive,72,0,5060176671027,0,,,0,
Dr.O Manuka Deodorant 50ml,1,2,,1,2,,,20.96999931,,15,Exclusive,34.95000076,0,5060176670549,0,,,0,
Dr.O Manuka Cream 50 ml,1,2,,1,2,,,39.59999847,,15,Exclusive,66,0,5060176670211,0,,,0,
Dr.O Manuka Shampo 265 ml,1,2,,1,2,,,27.60000038,,15,Exclusive,46,0,5060176671447,0,,,0,
